Id,CustomerName,Address,GST,DCNo,DCDate,Attention,Contact,Responsible_By,Type,ItemCode,Description,HSN,Quantity,Rate,Amount,TQty,TAmt,Gst_per,GTotal,Remark,Transport,vehicleNo,LRNo,Acknowledgement,UOM,SysDate,SysTime,SessionId,CompId,FinYearId,GrandTotal,GSTWORDS
1558,MR RAHUL SHITOLE,"SHINDAWANE, PUNE ",,771,22-02-2020,MR RAHUL,,MR RAHUL SHITOLE,Returnable,&nbsp;,&nbsp;,&nbsp;,0,0.0,0.0,1.0,1.0,0.0,1.0,FOR PERSONAL USE,BY HAND RAHUL SHITOLE,BY HAND,NA,Received material in good condition,,,,,,,,
1559,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,772,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-13-360,REST MYLAR,-,2,1.0,2.0,10.0,10.0,0.0,10.0,for DEGREE ,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1560,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,772,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-15-360,REST MYLAR,-,4,1.0,4.0,10.0,10.0,0.0,10.0,for DEGREE ,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1561,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,772,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-13-370,REST MYLAR,-,2,1.0,2.0,10.0,10.0,0.0,10.0,for DEGREE ,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1562,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,772,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-05-370,REST MYLAR,-,2,1.0,2.0,10.0,10.0,0.0,10.0,for DEGREE ,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1563,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-11-580,WELDMENT BKT,-,1,1.0,1.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1564,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00680-05-410,CLAMP MYLAR,-,1,1.0,1.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1565,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-11-590,WELDMENT BKT,-,1,1.0,1.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1566,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-05-560,U BKT,-,2,1.0,2.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1567,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-17-480,L BKT,-,2,1.0,2.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1568,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-05-360,REST MYLAR,-,4,1.0,4.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1569,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-13-410,CLAMP MYLAR,-,2,1.0,2.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1570,TECHNOMECH ENGINEERING,Nanded Phata,27BWKPD5091H1ZD,773,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-13-410,CLAMP MYLAR,-,2,1.0,2.0,15.0,15.0,0.0,15.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1571,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-05-010,CLAMP BRACKET,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1572,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-19-610,Z BKT,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1573,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00707-03-370,REST MYLAR,-,1,1.0,1.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1574,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-31-360,REST MYLAR,-,1,1.0,1.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1575,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-13-480,L BRACKET,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1576,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-13-410,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1577,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-07-480,L BKT,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1578,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-17-480,L BRACKET,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1579,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-15-360,REST MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1580,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-05-410,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1581,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-25-410,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1582,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00708-17-410,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1583,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,&nbsp;,&nbsp;,&nbsp;,0,0.0,0.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1584,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-03-420,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1585,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00691-35-360,REST MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1586,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00693-05-420,CLAMP MYLAR,-,2,1.0,2.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1587,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00684-11-490,L BKT,-,4,1.0,4.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1588,TECHNOMECH ENGINEERING,"Nanded Phata, PUNE 41",27BWKPD5091H1ZD,774,22-02-2020,Mr. Technomech Engineering,9657140874,MR PRAVIN CHAUGULE,Returnable,00685-19-410,CLAMP MYLAR,-,4,1.0,4.0,36.0,36.0,0.0,36.0,FOR DRILLING,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1589,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00694-11-420,CLAMP MYLAR,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1590,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00684-13-750,PLATE,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1591,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00708-29-360,REST MYLAR,-,1,1.0,1.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1592,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-11-530,T BKT,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1593,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-11-480,L BKT,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1594,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-35-480,L BKT,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1595,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00694-15-360,REST MYLAR,-,4,1.0,4.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1596,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00708-09-480,L BRACKET,-,1,1.0,1.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1597,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-09-480,L BKT,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1598,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-09-610,Z BKT,-,2,1.0,2.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1599,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00708-33-370,REST MYLAR,-,1,1.0,1.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1600,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00691-39-610,Z BKT,-,4,1.0,4.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1601,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00708-23-410,CLAMP ARM,-,1,1.0,1.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1602,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00684-53-480,L BKT,-,4,1.0,4.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1603,VISHWA ENGINEERING,"DYNANDEEP SOCIETY,NEAR SUNDAR SANKUL,MAGARPATTA,HADAPSAR,PUNE-411028",-,775,22-02-2020,JITENDRA R NELEKAR,-,MR PRAVIN CHOUGULE,Returnable,00684-13-480,L BKT,-,4,1.0,4.0,34.0,34.0,0.0,34.0,for milling and drilling,BY HAND MR PRAVIN CHOUGULE,BY HAND,NA,Received material in good condition,,,,,,,,
1604,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-08-360,00692-08-360,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1605,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00683-04-490,00683-04-490,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1606,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00698-04-480,00698-04-480,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1607,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-13-480,L BKT,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1608,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00685-13-480,00685-13-480,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1609,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00685-17-480,L BKT,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1610,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00685-15-640,SHIMMING BLOCK,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1611,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00685-16-640,00685-16-640,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1612,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00694-31-720,PLATE,-,8,1.0,8.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1613,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00680-10-430,00680-10-430,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1614,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00680-09-490,L BKT,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1615,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00680-12-480,00680-12-480,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1616,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00680-11-480,L BKT,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1617,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-23-560,U BKT,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1618,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-24-560,00692-24-560,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1619,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-11-410,CLAMP MYLAR,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1620,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-17-360,REST MYLAR,-,2,1.0,2.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1621,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-23-410,CLAMP MYLAR,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1622,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-24-410,00692-24-410,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1623,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-11-370,REST MYLAR,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1624,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00692-12-370,00692-12-370,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
1625,SAI ENTERPRISES,"S.No.48,Shree Sai Industrial Co-Op.Society,
Gujarwadi Phata,Katraj,
Pune 411046",-,776,23-02-2020,Mr. Akshay Bhusari,9850898888,MR PRAVIN CHOUGULE,Returnable,00679-03-370,EDGE BUTT MYLAR,-,1,1.0,1.0,52.0,52.0,0.0,52.0,FOR BLACKODISING,SELF,MH12 EF 5483,NA,Received material in good condition,,,,,,,,
